City,Country,Continent,Business Freedom,Safety,Education,Economy,Tolerance
Aarhus, Denmark,Europe,9.94,9.6165,5.3665,4.8865,9.7385
Adelaide, Australia,Oceania,9.399666667,7.926,5.142,6.0695,7.822
Albuquerque, New Mexico,North America,8.671,1.3435,4.152,6.5145,7.0285
Almaty, Kazakhstan,Asia,5.568,7.309,2.283,5.269,6.5395
Amsterdam, Netherlands,Europe,8.836666667,8.5035,6.18,5.053,8.368
Anchorage, Alaska,North America,8.671,3.4705,3.6245,6.5145,7.093
Ankara, Turkey,Asia,5.948333333,7.425,2.0285,4.0935,4.4855
Asheville, North Carolina,North America,8.671,5.8525,3.6245,6.5145,7.7305
Athens, Greece,Europe,6.169,6.7585,3.1625,3.32,6.268
Atlanta, Georgia,North America,8.671,2.6725,6.457,6.5145,4.062
Auckland, New Zealand,Oceania,10.0,7.0215,5.0465,5.5055,7.402
Austin, Texas,North America,8.671,5.069,5.315,6.5145,6.7895
Bali, Indonesia,Asia,3.912333333,8.7475,0.5275,4.6575,4.559
Baltimore, Maryland,North America,5.502,2.373,5.8805,6.5145,5.755
Bangkok, Thailand,Asia,5.603666667,7.0365,1.6915,2.387,6.019
Barcelona, Spain,Europe,7.119666667,7.4075,5.029,4.296,7.4715
Beijing, China,Asia,3.815333333,7.066,7.971,6.103,2.822
Beirut, Lebanon,Asia,4.329,6.833,1.0035,3.4345,4.184
Belfast, United Kingdom,Europe,8.992,7.679,4.6865,5.438,5.9795
Belgrade, Serbia,Europe,5.384,6.6995,0.5,1.638,7.387
Bengaluru, India,Asia,3.618,7.294,0.656,5.5565,3.4845
Bergen, Norway,Europe,9.635333333,7.7075,4.8395,7.0735,7.6145
Berlin, Germany,Europe,9.072333333,7.2515,7.019,5.3735,7.1775
Bern, Switzerland,Europe,8.888,9.266,5.3455,6.552,8.589
Bilbao, Spain,Europe,7.119666667,8.7805,3.759,4.296,8.663
Birmingham, United Kingdom,Europe,8.992,6.9465,5.0265,5.438,6.421
Birmingham, Alabama,North America,8.671,1.776,3.6245,6.5145,4.8815
Bogota, Colombia,South America,6.348666667,6.222,1.534,4.5945,8.5555
Boise, Idaho,North America,8.671,4.3605,3.6245,6.5145,6.9275
Bologna, Italy,Europe,6.189666667,7.337,4.2025,3.3625,7.618
Bordeaux, France,Europe,8.088333333,7.466,4.442,4.2045,7.1265
Boston, Massachusetts,North America,8.671,7.742,8.6245,6.5145,8.4815
Boulder, Colorado,North America,8.671,7.0735,4.679,6.5145,9.2745
Bozeman, Montana,North America,8.671,6.9145,4.128,6.5145,7.2935
Bratislava, Slovakia,Europe,6.188666667,8.618,3.2975,4.4705,6.4325
Brighton, United Kingdom,Europe,8.992,8.4715,4.906,5.438,8.17
Brisbane, Australia,Oceania,9.399666667,7.9035,5.921,6.0695,7.4895
Bristol, United Kingdom,Europe,8.992,7.94,5.4615,5.438,7.4395
Brno, Czechia,Europe,6.212666667,8.5655,4.2265,4.378,8.055
Brussels, Belgium,Europe,8.877,6.703,6.653,4.8115,6.481
Bucharest, Romania,Europe,5.681666667,8.986,2.4475,4.103,8.6865
Budapest, Hungary,Europe,6.708,8.2185,3.693,4.946,7.228
Buenos Aires, Argentina,South America,4.045333333,6.0395,1.422,2.884,8.584
Buffalo, New York,North America,8.671,7.1885,4.212,6.5145,7.404
Cairo, Egypt,Africa,5.790666667,6.791,0.5,2.978,2.65
Calgary, Canada,North America,8.966,7.923,5.555,5.8405,8.1105
Cambridge, United Kingdom,Europe,8.992,9.5045,6.5545,5.438,8.487
Cape Town, South Africa,Africa,4.732,5.328,0.8945,2.768,3.6605
Cardiff, United Kingdom,Europe,8.992,8.21,4.7855,5.438,7.996
Charleston, South Carolina,North America,8.671,5.0555,3.6245,6.5145,5.771
Charlotte, North Carolina,North America,8.671,5.3475,3.6245,6.5145,6.7895
Chattanooga, Tennessee,North America,8.671,4.468,3.6245,6.5145,4.7925
Chennai, India,Asia,3.618,7.837,0.5115,5.5565,4.55
Chiang Mai, Thailand,Asia,5.603666667,8.4525,1.6875,2.387,6.8715
Chicago, Illinois,North America,8.671,3.832,7.999,6.5145,6.134
Chisinau, Moldova,Europe,5.443333333,7.628,1.3995,3.9765,6.647
Christchurch, New Zealand,Oceania,10.0,7.585,4.756,5.5055,8.4035
Cincinnati, Ohio,North America,8.671,4.975,4.2805,6.5145,5.299
Cleveland, Ohio,North America,8.671,3.637,4.6185,6.5145,4.7755
Cluj-Napoca, Romania,Europe,5.681666667,9.4745,2.448,4.103,8.624
Cologne, Germany,Europe,9.072333333,6.6295,5.1035,5.3735,6.7115
Colorado Springs, Colorado,North America,8.671,5.3775,3.6245,6.5145,9.206
Columbus, Ohio,North America,8.671,5.2815,5.0475,6.5145,5.9215
Copenhagen, Denmark,Europe,9.94,9.1525,5.301,4.8865,9.0955
